"Title","Address","Decision","Decision Date"
"Soto’s Produce","4900 E. Rosecrans Ave., Compton, CA 90221","Term Disqualification","03/09/2018"
"Star One Food Mart","1416 S. Washington St., Forrest City, AR 72335","Permanent Disqualification","03/29/2018"
"Texaco","5990 Old National Highway, College Park, GA 30349","Term Disqualification","03/26/2018"
"The Crab Shack","4800 N. 16th St., Philadelphia, PA 19141","Withdrawal","03/15/2018"
"Tienda Hispana El Jaral","4200 South Blvd.,     Suite E, Charlotte, NC 28209","Permanent Disqualification","03/28/2018"
"Touba Darou Salam","4158 Hamilton Ave., Cincinnati, OH 45223","","03/06/2018"
"Uac Food Mart","901 Bennett Place, Baltimore, MD 21223","Permanent Disqualification","03/19/2018"
"Village Grocery Store #1","2185 Verbena St. NW, Atlanta, GA 30314","Permanent Disqualification","03/05/2018"
"Aanta 51 LLC","1658 N. Highway 25, Travelers Rest, SC 29690","Denial","03/16/2018"
"Abugeda Grocery LLC","12101 Greenville Ave.,     Suite 107, Dallas, TX 75231","Denial","03/21/2018"
"Alaska King Crab House Inc.","4834 Lancaster Ave., Philadelphia, PA 19131","Withdrawal","03/08/2018"
"All Star Grocery","1081 Capitol Ave., Hartford, CT 06106","Permanent Disqualification","03/21/2018"
"Belzoni Gas Mart LLC","15390 Highway 49 W, Belzoni, MS 39038","Term Disqualification","03/15/2018"
"Best Food Mart 3 LLC","1621 University Ave., Des Moines, IA 50314","Term Disqualification","03/02/2018"
"Bonys Food Mart","1942 S. Carpenter St., Chicago, IL 60608","Permanent Disqualification","03/12/2018"
"Bus Stop Market","712 Admiral St., Providence, RI 02908","Withdrawal","03/09/2018"
"C&T Grocery Store","3420 Capuano Road, Lumberton, NC 28358","Denial","03/21/2018"
"CJ Supermarket","5843 N. Second St., Philadelphia, PA 19120","Civil Money Penalty","03/22/2018"
"Deering's Market East","1142 Barlow St., Traverse City, MI 49686","Term Disqualification","03/16/2018"
"Delancey Food Market","5266 Delancey St., Philadelphia, PA 19143","Permanent Disqualification","03/20/2018"
"Dollar Plus Outlet","1909 E. Washington Lane, Philadelphia, PA 19138","Term Disqualification","03/01/2018"
"El Principle Grocery Store Corp.","237 E. 203rd St., Bronx, NY 10458","Permanent Disqualification","03/02/2018"
"Felix Deli Grocery Corp.","354 Brook Ave., Bronx, NY 10454","Permanent Disqualification","03/01/2018"
"Final Kourse Bakery","6105 Highway 155 N, Stockbridge, GA 30281","Denial","03/05/2018"
"Frank Meat Market","2654 Valentine Ave., Bronx, NY 10458","Term Disqualification","03/13/2018"
"Garrett Inc. dba Dollar Mart","5028 Roe Blvd., Roeland Park, KS 66205","Denial","03/20/2018"
"Greenland Food Market","5723 SW 23rd St., West Park, FL 33023","Civil Money Penalty","03/21/2018"
"Hope Mart","4324 Hovis Road, Charlotte, NC 28208","Term Disqualification","03/02/2018"
"Jason's Market","8422 State St., South Gate, CA 90280","Term Disqualification","03/09/2018"
"La Gaudlapana","1910 Opelika Road, Auburn, AL 36830","Term Disqualification","03/26/2018"
"Liquor Locker","520 24th St., Port Huron, MI 48060","Permanent Disqualification","03/06/2018"
"LS Deli Market Inc.","175 Elizabeth Ave., Newark, NJ 07108","Term Disqualification","03/01/2018"
"Ndeze's International Market LLC","313 Pond St., Syracuse, NY 13208","Permanent Disqualification","03/12/2018"
"Nkem African Caribbean Market Inc.","3585 S. Maryland Parkway,     Suite 1, Las Vegas, NV 89169","Permanent Disqualification","03/08/2018"
"Putnam Meat Market","111 Stillwater Ave., Stamford, CT 06902","Civil Money Penalty","03/27/2018"
"Quick Mart","2329 N. First St., Fresno, CA 93703","Civil Money Penalty","03/14/2018"
"RZ Discount Store LLC","214 Haledon Ave., Prospect Park, NJ 07508","Permanent Disqualification","03/13/2018"
"Snookies Convenience Store","6818 Nations Ford Road, Charlotte, NC 28217","Withdrawal","03/26/2018"
"Southern Pride Market Inc.","2602 Davison Road, Flint, MI 48506","Withdrawal","03/01/2018"
"Stop & Save #111","1213 Winnsboro Road, Monroe, LA 71202","Permanent Disqualification","03/22/2018"
"Sugar Rush Cake Gallery","3821 Woodvalley Drive, Houston, TX 77025","Denial","03/09/2018"
"Uncle Sam","151 Pleasant St., Worcester, MA 01609","Permanent Disqualification","03/19/2018"
"Venice Market & Bakery","1529 Crenshaw Blvd., Los Angeles, CA 90019","Permanent Disqualification","03/21/2018"
"Calvert Crabs","151 Central Square Drive, Prince Frederick, MD 20678","Denial","03/22/2018"
"Fame Convenient Store","1842 Almonaster Ave., New Orleans, LA 70117","Permanent Disqualification","03/08/2018"
"Habesha Market LLC","1391 S. Hamilton Road, Columbus, OH 43227","Permanent Disqualification","03/23/2018"
"Nhung's Market","145 N. King St. ,     Space 16, Honolulu, HI 96817","Permanent Disqualification","03/22/2018"
"Olive Supermarket","8841 Olive St., New Orleans, LA 70118","Permanent Disqualification","03/14/2018"
"Quick Mart","2859 State Ave., Kansas City, KS 66102","Term Disqualification","03/29/2018"
"Tu Gente Deli & Grocery Corp.","1801 Dr. Martin L. King Jr. Blvd., Bronx, NY 10453","Permanent Disqualification","03/28/2018"
"76 Gas Station & Mini Market","12720 Main St., Hesperia, CA 92345","Term Disqualification","04/19/2018"
"Aldiwan Pastry & Cake Inc.","30012 Ford Road, Garden City, MI 48135","Denial","04/06/2018"
"CC Deli Grocery Inc.","13869 Francis Lewis Blvd., Rosedale, NY 11422","Term Disqualification","04/18/2018"
"C&M Mini Mart & Deli dba Country Maid Pizza & Deli","750 E. Chestnut Hill Road, Newark, DE 19713","Withdrawal","04/13/2018"
"Cortelyou Bazaar Inc.","211 Cortelyou Road, Brooklyn, NY 11218","Term Disqualification","04/16/2018"
"Green Miles Convenience","305 Ashley Blvd., New Bedford, MA 02746","Permanent Disqualification","04/12/2018"
"Guadalajara Market","1134 W. Mission Blvd., Pomona, CA 91766","Term Disqualification","04/10/2018"
"Gupta Son Corp.","759 Grafton St., Worcester, MA 01604","Denial","04/20/2018"
"Halls Quick Stop","372 S. Church St., Halls, TN 38040","Withdrawal","04/27/2018"
"International Food Market","13664 Warwick Blvd.,     Suite D, Newport News, VA 23602","Term Disqualification","04/30/2018"
"King Chevron","3011 Martin Luther King Ave. SE, Washington, DC 20019","Permanent Disqualification","04/30/2018"
"Lanka Grocery Inc.","344 Victory Blvd., Staten Island, NY 10301","Term Disqualification","04/23/2018"
"Liberty Food Mart","1816 Lancaster Ave., Wilmington, DE 19805","Term Disqualification","04/06/2018"
"MG Bus Stop Deli Corp.","271 E. 206th St., Bronx, NY 10467","Term Disqualification","04/23/2018"
"My Neighborhood Grocery","385 Chestnut St., Brooklyn, NY 11208","Term Disqualification","04/10/2018"
"One Stop Food","301 S. French Ave., Sanford, FL 32771","Civil Money Penalty","04/03/2018"
"Payless Convenience Store","274 Cedar St., New Bedford, MA 02740","Term Disqualification","04/18/2018"
"Petro South","1639 N. Hill St., Griffin, GA 30223","Term Disqualification","04/06/2018"
"Pine Point Variety Store LLC","139 Boston Road, Springfield, MA 01109","Term Disqualification","04/30/2018"
"Roseberry Market","10022 Roseberry St., Detroit, MI 48213","Withdrawal","04/30/2018"
"Save & Fast Express","7472 Main St., Houma, LA 70363","Denial","04/19/2018"
"4 Seasons Finest Deli Corp.","54 Lewis Ave., Brooklyn, NY 11206","Permanent Disqualification","04/05/2018"
"Ali Baba Deli Grocery Corp.","3565 Boston Road, Bronx, NY 10469","Term Disqualification","04/24/2018"
"Asaram Inc. Country Farm","198 S. Main St., Gloversville, NY 12078","Permanent Disqualification","04/26/2018"
"Big Bear Food Store","3801 Mangum Road, Houston, TX 77092","Denial","04/23/2018"
"Brito Deli & Grocery Corp.","309 Crimmins Ave., Bronx, NY 10454","Permanent Disqualification","04/19/2018"
"Cibao Meat Market &  Grocery","145 Passaic St., Passaic, NJ 07055","Civil Money Penalty","04/19/2018"
"Circle 1 Market #1","2144 Palm Ave., Highland, CA 92346","Withdrawal","04/12/2018"
"D&L Groceries","1005 Genesee St., Rochester, NY 14611","Term Disqualification","04/02/2018"
"D Zone Grocery & Deli Corp.","68 Herriot St., Yonkers, NY 10701","Term Disqualification","04/12/2018"
"Dollar Plus Mart","1357 Kendall Drive,     Suite 18, San Bernardino, CA 92407","Permanent Disqualification","04/26/2018"
"El Chevy Grocery Store LLC","557 Ocean Ave., Jersey City, NJ 07305","Permanent Disqualification","04/03/2018"
"Erie Market & Deli","626 Chestnut St., Toledo, OH 43604","Term Disqualification","04/04/2018"
"F&J Liquor Inc.","5360 Crenshaw Blvd., Los Angeles, CA 90043","Permanent Disqualification","04/20/2018"
"Fresh Plus Food Market Inc.","700 Avenue of the States, Chester, PA 19013","Permanent Disqualification","04/09/2018"
"Jawani Market","1426 Fillmore Ave., Buffalo, NY 14211","Permanent Disqualification","04/26/2018"
"Jersey Dollar & Variety","202 Ocean Ave., Jersey City, NJ 07305","Withdrawal","04/16/2018"
"Joe Patti Seafood Co. Inc.","524 S. B St., Pensacola, FL 32502","Permanent Disqualification","04/13/2018"
"Jose Supermarket Corp. #1","219 Tremont Ave., East Orange, NJ 07018","Permanent Disqualification","04/16/2018"
"One Stop Market","1542 Morris St., Philadelphia, PA 19145","Term Disqualification","04/18/2018"
"Pop’s Grocery Inc.","3700 Dr. Martin Luther King Blvd., Fort Myers, FL 33916","Term Disqualification","04/11/2018"
"Portland Food Mart","7701 Portland Ave., Minneapolis, MN 55423","Term Disqualification","04/27/2018"
"Quick Mart","85 Mason St., Woonsocket, RI 02895","Term Disqualification","04/10/2018"
"Shield's Gas N Go Sunoco","3200 Madison Pike, Ft Mitchell, KY 41017","Denial","04/24/2018"
"Simran Food Mart dba Clark","934 Marion Road, Bucyrus, OH 44820","Withdrawal","04/20/2018"
"Sistrunk Meat Market","1500 NW Sixth St., Fort Lauderdale, FL 33311","Permanent Disqualification","04/24/2018"
"SMS Grocery & Cellphones Inc.","490 Lenox Ave., New York, NY 10037","Permanent Disqualification","04/06/2018"
"Spunky Canyon Market","15488 Spunky Canyon Road, Santa Clarita, CA 91390","Permanent Disqualification","04/10/2018"
"Triangle Seafood & Po Boys","420 Hardy St., Hattiesburg, MS 39401","Withdrawal","04/11/2018"
"Wayne's Grocery","1704 Vaughn Blvd., Fort Worth, TX 76105","Permanent Disqualification","04/04/2018"
"Wellsville Farm","3425 Rosstown Road, Wellsville, PA 17365","Permanent Disqualification","04/16/2018"
"Wilmer Grocery","13433 Moffett Road, Wilmer, AL 36587","Civil Money Penalty","04/03/2018"
"Manna Grocery's","2048 Victory Blvd., Staten Island, NY 10314","Permanent Disqualification","03/08/2017"
"Baytown SFD Market & Restaurant","709 W. Main St., Baytown, TX 77520","Withdrawal","04/13/2018"
"BNS Hot Deli Corp.","773 Park Ave., Brooklyn, NY 11206","Permanent Disqualification","04/03/2018"
"Bravo Seafood & Deli","3742 Germantown Ave., Philadelphia, PA 19140","Withdrawal","04/18/2018"
"Brock Avenue Market","629 Brock Ave., New Bedford, MA 02744","Term Disqualification","04/10/2018"
"Bryson Investment Holdings LLC","3761 S. Perkins Road, Memphis, TN 38118","Denial","04/27/2018"
"Carnitas De Nicaragua Fritanga Torilleria","1885 W. Flagler St., Miami, FL 33135","Denial","04/25/2018"
"Charlie's Foodmart","12316 Bellefontaine Road, Saint Louis, MO 63138","Term Disqualification","04/06/2018"
"Chicago Grill & Gyros LLC","6044 E. 21st St., Indianapolis, IN 46219","Permanent Disqualification","04/26/2018"
"Corner Mart","801 W. Constance Road, Suffolk, VA 23434","Denial","04/18/2018"
"Discount Cigars","403 W. Kennedy Blvd. ,     Suite 3, Orlando, FL 32810","Permanent Disqualification","04/09/2018"
"Dollar &  More","2811 W. Buckeye Road, Phoenix, AZ 85009","Permanent Disqualification","04/09/2018"
"Family Deli & Grocery","45 Elliot Place, Bronx, NY 10452","Civil Money Penalty","04/25/2018"
"Fisherman's Island","1116 S. Kedzie Ave., Chicago, IL 60612","Withdrawal","04/10/2018"
"Fisherman's Island","6659 S. Wentworth Ave.,     Suite B, Chicago, IL 60621","Withdrawal","04/10/2018"
"Garden Bar","1623 E. 72nd St.,     Suite 300, Tacoma, WA 98404","Denial","04/24/2018"
"Gloucester dba Citgo Food Mart","174 S. Broadway, Gloucester City, NJ 08030","Term Disqualification","04/16/2018"
"Imagine Multi Services LLC","650 SW Port St. Lucie Blvd., Port Saint Lucie, FL 34953","Denial","04/06/2018"
"JC Food Market Corp.","1091 Saint Nicholas Ave., New York, NY 10032","Permanent Disqualification","04/13/2018"
"Krazy Dollar Deal #2","406 E. 161 St., Bronx, NY 10451","Term Disqualification","04/11/2018"
"One Stop","912 Kendall Road, Newberry, SC 29108","Permanent Disqualification","04/24/2018"
"Patwary C Store","1600 W. Main St., Lexington, SC 29072","Denial","04/30/2018"
"Penn Valley Market & Liquor","17434 Penn Valley Drive, Penn Valley, CA 95946","Term Disqualification","04/30/2018"
"Peralta's Deli & Grill Inc.","144 Neptune Ave., Brooklyn, NY 11235","Permanent Disqualification","04/04/2018"
"Pump Mart","1118 N. Ninth St., Salina, KS 67401","Denial","04/05/2018"
"Sakaman Candy Store Inc.","6821 Fourth Ave., Brooklyn, NY 11220","Permanent Disqualification","04/02/2018"
"Seafood Heaven Inc. dba Fisherman's Island","432 E. 87th Place, Chicago, IL 60619","Withdrawal","04/10/2018"
"Shukrani Market Inc.","12309 Plano Road, Dallas, TX 75243","Permanent Disqualification","04/06/2018"
"Wheeler Gas & Convenience","321 Walnut St., Springfield, MA 01105","Permanent Disqualification","04/25/2018"
"Zerka Food Center","523 W. Carpenter Road, Flint, MI 48505","Denial","04/17/2018"
"128 P&L Deli Grocery Corp.","128 Audubon Ave., New York, NY 10032","Permanent Disqualification","04/17/2018"
"A&M Grocery","777 Nostrand Ave., Brooklyn, NY 11216","Permanent Disqualification","04/24/2018"
"Apex Food Mart","321 S. Salem St., Apex, NC 27502","Term Disqualification","04/30/2018"
"Baldwin & I-75 Mobil","4243 Baldwin Road, Auburn Hills, MI 48326","Term Disqualification","04/24/2018"
"Cedar Convenience Plus","377 Cedar St., New Bedford, MA 02740","Term Disqualification","04/30/2018"
"Chevron Food Mart","404 S. Maple St., Spokane, WA 99201","Permanent Disqualification","04/06/2018"
"Chickenman","429 W. Market St., Snow Hill, MD 21863","Permanent Disqualification","04/06/2018"
"Collins Convince Store #201","209 E. Collins Road, Galloway, NJ 08205","Permanent Disqualification","04/16/2018"
"Dency Grocery LLC","438 W. Washington St., Allentown, PA 18102","Term Disqualification","04/25/2018"
"El Mercadito","450 Moores Lane, New Castle, DE 19720","Term Disqualification","04/25/2018"
"Framingham Convenience Store","189 Concord St., Framingham, MA 01702","Permanent Disqualification","04/11/2018"
"Fresh Way Foods","2600 E. 87th St., Chicago, IL 60617","Permanent Disqualification","04/23/2018"
"GD'S 99 Cents Store Plus","4409 N. 27th Ave., Phoenix, AZ 85017","Permanent Disqualification","04/23/2018"
"Hamzah Deli & Grocery Corp.","145 Rockaway Ave., Brooklyn, NY 11233","Civil Money Penalty","04/16/2018"
"Hanna Food","2778 N. 59th St., Milwaukee, WI 53210","Permanent Disqualification","04/30/2018"
"Home Plate Food Corp.","210 Nagle Ave., New York, NY 10034","Permanent Disqualification","04/24/2018"
"Ma Hawa African Market","306 Cranston St., Providence, RI 02907","Permanent Disqualification","04/16/2018"
"Macqueen's Grocery","15896 Jefferson Highway, Bumpass, VA 23024","Term Disqualification","04/30/2018"
"Medina Grocery 1","6052 Ogontz Ave., Philadelphia, PA 19141","Permanent Disqualification","04/17/2018"
"Mister 99 Cent Store Plus Disc","14434 Road 192, Poplar, CA 93257","Permanent Disqualification","04/19/2018"
"Oasis Market & Deli","629 Connecticut Ave., Bridgeport, CT 06607","Permanent Disqualification","04/30/2018"
"Rakan Deli Grocery Corp.","560 Ralph Ave., Brooklyn, NY 11233","Permanent Disqualification","04/20/2018"
"Shop & Save Food Market & Deli Inc.","900 W. Marshall St., Norristown, PA 19401","","04/09/2018"
"Sweet Banana Corp.","4005 Ninth Ave., Brooklyn, NY 11232","Permanent Disqualification","04/16/2018"
"Tawkal Grocery LLC","103 Prospect St., Rochester, NY 14608","Permanent Disqualification","04/30/2018"
"The Bee Store","711 W. 23rd St.,     Suite 15, Lawrence, KS 66046","Denial","04/25/2018"
"Dos Equis Deli Grocery Inc.","6201 Vine St., Philadelphia, PA 19139","Denial","04/26/2018"
"7 Values Mart","3900 Minnesota Ave. NE, Washington, DC 20019","Permanent Disqualification","04/24/2018"
"Athena's Market Inc.","1686 86th St., Brooklyn, NY 11214","Permanent Disqualification","04/17/2018"
"Big Sam Food Corp.","2327 Mermaid Ave., Brooklyn, NY 11224","Permanent Disqualification","04/02/2018"
"Cottonwood Market","3137 Cottonwood Road, Bakersfield, CA 93307","Permanent Disqualification","04/02/2018"
"Fas Mart","67 E. Main St., Plainville, CT 06062","Permanent Disqualification","04/12/2018"
"Los 3 Hernandez Mini Market","1301 W. Jefferson Blvd., Los Angeles, CA 90007","Permanent Disqualification","04/09/2018"
"Mark's Party Store","5354 Tireman St., Detroit, MI 48204","Permanent Disqualification","04/10/2018"
"Millennium Store II","710 Washington St., Dorchester Center, MA 02124","Permanent Disqualification","04/27/2018"
"Not Guilty Inc.","19 Hyatt St., Staten Island, NY 10301","Permanent Disqualification","04/23/2018"
"S&M Food Store","2517 S. Beckley Ave., Dallas, TX 75224","Permanent Disqualification","04/02/2018"
"Salone International Food Market","8823 Annapolis Road, Lanham, MD 20706","Permanent Disqualification","04/09/2018"
"Sams Golden Land","3711 N. Decatur Road,     Suite 105, Decatur, GA 30032","Permanent Disqualification","04/06/2018"
"TC Hot Stop","1139 W. Third St., Siler City, NC 27344","Permanent Disqualification","04/26/2018"
"3D Market","4218 W. 16th Ave., Hialeah, FL 33012","Term Disqualification","05/10/2018"
"7 Deli Grocery Inc.","630  Henderson Ave., Staten Island, NY 10310","Term Disqualification","05/25/2018"
"7-Eleven 25332d","3280 Lund Ave. SE, Port Orchard, WA 98366","Withdrawal","05/24/2018"
"7-Eleven 34638A","567 Bay St., Port Orchard, WA 98366","Withdrawal","05/24/2018"
"27th Street Service Center Inc. #1","901 W. Michigan St., Orlando, FL 32805","Withdrawal","05/11/2018"
"231 Food Market Inc.","1823 Morgantown Road, Bowling Green, KY 42101","Denial","05/07/2018"
"1252 Deli Grocery Corp.","1252  Saint Nicholas Ave., New York, NY 10032","Denial","05/17/2018"
"A&D Food Mart","19230 E. Limestone Road, Athens, AL 35613","Permanent Disqualification","05/18/2018"
"A-1 Market & Liquor","1647 W. Glenoaks Blvd., Glendale, CA 91201","Permanent Disqualification","05/10/2018"
"Ak’s In & Out Mini Market","17 E. Santa Clara St., San Jose, CA 95113","Withdrawal","05/31/2018"
"Americus Food Mart Inc.","402 W. Forsyth St., Americus, GA 31709","Denial","05/21/2018"
"Anastasi Seafood","1101 S. Ninth St., Philadelphia, PA 19147","Withdrawal","05/29/2018"
"Ayo Food Store","619 University Blvd. N, Jacksonville, FL 32211","Term Disqualification","05/02/2018"
"Belle Market LLC","275 Main St., Beech Creek, PA 16822","Civil Money Penalty","05/07/2018"
"Billy’s Grocery","5701 Kingsessing Ave., Philadelphia, PA 19143","Permanent Disqualification","05/31/2018"
"Brooklyn Way Candy & Grocery","142 Utica Ave., Brooklyn, NY 11213","Term Disqualification","05/16/2018"
"Brothers Grocery & Deli","203 Clifton Ave., Lakewood, NJ 08701","Term Disqualification","05/21/2018"
"Casandra Grocery Corp.","1161 Hoe Ave., Bronx, NY 10459","Permanent Disqualification","05/25/2018"
"Cigs & Soda","3810 George Washington Highway, Portsmouth, VA 23702","Civil Money Penalty","05/21/2018"
"Clermont Sunoco","940 US Highway 27, Clermont, FL 34714","Term Disqualification","05/23/2018"
"Collado Grocery","743 Liberty Ave., Brooklyn, NY 11208","Permanent Disqualification","05/18/2018"
"Crain’s Ice Cream & Liquor","12025 Gardiner St., Boron, CA 93516","Permanent Disqualification","05/17/2018"
"De La Cruz Deli Grocery","694 E. 141 St.,      AKA 696 E 141 St , Bronx, NY 10454","Term Disqualification","05/14/2018"
"Doublebee’s #123","4 N. Broadview St., Greenbrier, AR 72058","Withdrawal","05/07/2018"
"Doublebee’s #134","209 S. Fourche Ave., Perryville, AR 72126","Withdrawal","05/14/2018"
"Doublebee’s #107","1014 Highway 65 S, Clinton, AR 72031","Withdrawal","05/21/2018"
"A&J Meat Market & Produce Corp.","1812 Archer St., Bronx, NY 10460","Permanent Disqualification","05/14/2018"
"Alsinbad Smoke Shop & Mediterranean Market","324 Second Ave. E, Twin Falls, ID 83301","Permanent Disqualification","05/01/2018"
"Appletown Market","9 Main St., Sterling, MA 01564","Permanent Disqualification","05/02/2018"
"Blue Light Market","8844 Mack Ave., Detroit, MI 48214","Permanent Disqualification","05/24/2018"
"Broadway Convenience Deli","1305 Broadway St., Buffalo, NY 14212","Permanent Disqualification","05/07/2018"
"Campbellton Food Mart","3749 Campbellton Road SW, Atlanta, GA 30331","Permanent Disqualification","05/16/2018"
"Consaul Food Market","2625 Consaul St., Toledo, OH 43605","Permanent Disqualification","05/01/2018"
"Courthouse Deli & Food Mart","155 Middlesex St., Lowell, MA 01852","Permanent Disqualification","05/24/2018"
"Creekside Grocery","4100 Tibbs Bridge Road SE, Dalton, GA 30721","Permanent Disqualification","05/15/2018"
"Dexter Marathon Gas","915 Dexter St., Milan, MI 48160","Term Disqualification","05/15/2018"
"Dollar Shop","4442 Park Heights Ave., Baltimore, MD 21215","Permanent Disqualification","05/16/2018"
"Express Liquor & Food","3100 Fulton Ave.,     Suite 102, Sacramento, CA 95821","Permanent Disqualification","05/01/2018"
"E-Z Go Mini Mart","518 W. Shields Ave., Fresno, CA 93705","Withdrawal","05/25/2018"
"Family Food Mart","801 Cedar Ave., Scranton, PA 18505","Permanent Disqualification","05/24/2018"
"Family Market","81 N. Bridge St., Holyoke, MA 01040","Permanent Disqualification","05/01/2018"
"Family Market","351 Hamilton St., Southbridge, MA 01550","Permanent Disqualification","05/21/2018"
"Figaro’s","1122 Lancaster Drive NE, Salem, OR 97301","Withdrawal","05/18/2018"
"Florida Food & Liquor","4201 W. Augusta Blvd., Chicago, IL 60651","Permanent Disqualification","05/09/2018"
"Food Mart","11100 E. US Highway 40, Independence, MO 64055","Denial","05/31/2018"
"Freddy’s Grocery Store","276 S. 27th St., Camden, NJ 08105","Permanent Disqualification","05/15/2018"
"Ganesh Corner Store","601 Cumberland St., Lebanon, PA 17042","Civil Money Penalty","05/18/2018"
"Gifted African Market LLC","2311 S. Hamilton Road, Columbus, OH 43232","Term Disqualification","05/04/2018"
"Gold Line LLC","418 E. Broadway St., North Little Rock, AR 72114","Denial","05/31/2018"
"Green House Indian Grocery Inc.","147 Garrett Road, Upper Darby, PA 19082","Civil Money Penalty","05/29/2018"
"Halhl Super Market","647 E. Miner Ave., Stockton, CA 95202","Denial","05/17/2018"
"HG Food Market Inc.","4077 Broadway, New York, NY 10032","Permanent Disqualification","05/23/2018"
"Hr 24 Enterprise LLC","3484 Napier Ave., Macon, GA 31204","Denial","05/15/2018"
"Humaid Food Mart","705 Edward Knotoe Thomas Jr. St., Ville Platte, LA 70586","Permanent Disqualification","05/04/2018"
"Joes Tobacco Shop","8014 Hickman Mills Drive, Kansas City, MO 64132","Term Disqualification","05/09/2018"
"Kam Iv Store","1437 Kamehameha Iv Road, Honolulu, HI 96819","Permanent Disqualification","05/16/2018"
"Kassim Family Food Center","2226  Surf Ave., Brooklyn, NY 11224","Permanent Disqualification","05/29/2018"
"LM Grocery Corp.","2643 Frederick Douglass Blvd., New York, NY 10030","Denial","05/24/2018"
"La Casa De Las Carnes","16300 SW 137 Ave. ,     Bay 132, Miami, FL 33177","Permanent Disqualification","05/30/2018"
"Las Brisas","11828 Hawthorne Blvd., Hawthorne, CA 90250","Permanent Disqualification","05/10/2018"
"Laurel Lane Grocery","2119 Laurel Lane, North Fort Myers, FL 33917","Permanent Disqualification","05/30/2018"
"M&M Market","1017 Market St., Marcus Hook, PA 19061","Permanent Disqualification","05/23/2018"
"Macoris Grocery","293 Walnut St., Waterbury, CT 06704","Permanent Disqualification","05/23/2018"
"Marathon","414 S. Kostner Ave., Chicago, IL 60624","Permanent Disqualification","05/01/2018"
"Marshes Corner Market","1229 N. Highway 1651, Whitley City, KY 42653","Permanent Disqualification","05/02/2018"
"Masottas Convenience dba One Stop Mart","80 Winn St., Woburn, MA 01801","Withdrawal","05/23/2018"
"McCart Food Mart","5617 McCart Ave., Fort Worth, TX 76133","Term Disqualification","05/09/2018"
"Meridian Deli & Convenience","1201 Braddock Place, Alexandria, VA 22314","Permanent Disqualification","05/30/2018"
"Mery Supermarket","101 First St., Elizabethport, NJ 07206","Permanent Disqualification","05/30/2018"
"Mis Amigos","2445 Vail Ave., Stockton, CA 95205","Permanent Disqualification","05/18/2018"
"MK Market","28410 Old Town Front St., Temecula, CA 92590","Withdrawal","05/14/2018"
"Mommies","128 Front St., Hemet, CA 92543","Denial","05/16/2018"
"N. Petroleum & General Store","2305 R St., Lincoln, NE 68503","Withdrawal","05/21/2018"
"Nadia’s Market","6201 Vine St., Philadelphia, PA 19139","Civil Money Penalty","05/21/2018"
"Namaste Mart #1","4812 Forman Road, Saint Louis, MO 63123","","05/21/2018"
"New Phalwan Halal Meat & Groceries","490 Route 27 Lincoln Highway, Iselin, NJ 08830","Term Disqualification","05/02/2018"
"New York Minimart","602 Nixon St., Wilmington, NC 28401","Denial","05/07/2018"
"One Stop Mart","4137 W. Vine St., Kissimmee, FL 34741","Term Disqualification","05/02/2018"
"One Stop Mini Mart LLC","578 Old Town Mall, Baltimore, MD 21202","Permanent Disqualification","05/07/2018"
"Patience Supermarket #0","733 North Ave. NW, Atlanta, GA 30318","Civil Money Penalty","05/14/2018"
"Pls Deli","19 N. Market St., Summit Hill, PA 18250","Denial","05/14/2018"
"Pride African & Caribbean Store","197 Broad St., Staten Island, NY 10304","Term Disqualification","05/31/2018"
"Quick & Quality","4836 Spruce St., Philadelphia, PA 19139","Term Disqualification","05/07/2018"
"Quick Pick Liquor","9450 N. Lilley Road, Plymouth, MI 48170","Term Disqualification","05/14/2018"
"R&V Food Store","2502 Hardy St., Houston, TX 77009","Civil Money Penalty","05/07/2018"
"S&P Grocery Store Inc. dba Altagracia Grocery","6000 Kingsessing Ave., Philadelphia, PA 19142","Permanent Disqualification","05/10/2018"
"Sai Food & Gas Inc.","1030  N. Lake St., Aurora, IL 60506","Term Disqualification","05/22/2018"
"Sam’s Quick Stop #2","8802 S. Central Ave., Phoenix, AZ 85042","Civil Money Penalty","05/03/2018"
"Samy 99 Cent’s Store","7323 S. Central Ave., Los Angeles, CA 90001","Term Disqualification","05/29/2018"
"San Lazaro Grocery","196 South St., Jersey City, NJ 07307","Term Disqualification","05/29/2018"
"San Rafael Mini Market Inc.","4856 B St., Philadelphia, PA 19120","Term Disqualification","05/08/2018"
"Seoul Grocery Market","784 Missouri Ave., Saint Robert, MO 65584","Permanent Disqualification","05/30/2018"
"Shadyside Meat Market Inc.","4200 15th Ave. S, Saint Petersburg, FL 33711","Term Disqualification","05/29/2018"
"Shoreway Convenience Inc.","3043  Emmons Ave. 1, Brooklyn, NY 11235","Permanent Disqualification","05/31/2018"
"Shreeji Food Store 2","620 Columbia Ave., Glasgow, KY 42141","Term Disqualification","05/07/2018"
"Shurlington Food Mart","1890 Shurling Drive, Macon, GA 31211","Term Disqualification","05/09/2018"
"Smokerz Outlet","1601 Frederick Ave., Saint Joseph, MO 64501","Term Disqualification","05/25/2018"
"SRK Mart Corp. dba Gran N Go Deli Grocery","2125 John F. Kennedy Blvd., Jersey City, NJ 07305","Term Disqualification","05/29/2018"
"Stop N Go","52 NW Broad St., Fairburn, GA 30213","Term Disqualification","05/22/2018"
